股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
601857.SH,2020-01-02,5.86,5.88,5.84,5.87,5.83,0.04,0.6861,728085.0,427014.028
601857.SH,2020-01-03,5.87,5.99,5.86,5.95,5.87,0.08,1.3629,1198567.82,712671.271
601857.SH,2020-01-06,6.03,6.28,6.02,6.23,5.95,0.28,4.7059,3016461.24,1859195.864
601857.SH,2020-01-07,6.17,6.17,6.07,6.11,6.23,-0.12,-1.9262,1526817.55,931508.895
601857.SH,2020-01-08,6.26,6.3,6.15,6.23,6.11,0.12,1.964,2154513.33,1337592.338
601857.SH,2020-01-09,6.04,6.08,6.0,6.06,6.23,-0.17,-2.7287,1599836.83,966146.262
601857.SH,2020-01-10,6.04,6.04,5.96,5.99,6.06,-0.07,-1.1551,921306.21,551691.385
601857.SH,2020-01-13,5.99,5.99,5.93,5.97,5.99,-0.02,-0.3339,551183.92,327829.65
601857.SH,2020-01-14,5.95,5.98,5.94,5.95,5.97,-0.02,-0.335,444804.19,265271.834
601857.SH,2020-01-15,5.95,5.97,5.86,5.87,5.95,-0.08,-1.3445,720145.46,424495.017
601857.SH,2020-01-16,5.88,5.89,5.81,5.83,5.87,-0.04,-0.6814,578609.92,337630.232
601857.SH,2020-01-17,5.84,5.87,5.83,5.84,5.83,0.01,0.1715,366676.41,214376.983
601857.SH,2020-01-20,5.85,5.86,5.81,5.85,5.84,0.01,0.1712,534083.89,311510.573
601857.SH,2020-01-21,5.85,5.85,5.78,5.79,5.85,-0.06,-1.0256,560285.46,324824.586
601857.SH,2020-01-22,5.76,5.77,5.71,5.74,5.79,-0.05,-0.8636,662397.38,379676.573
601857.SH,2020-01-23,5.7,5.72,5.62,5.64,5.74,-0.1,-1.7422,814444.47,460859.1
601857.SH,2020-02-03,5.14,5.29,5.08,5.13,5.64,-0.51,-9.0426,2270937.29,1167352.624
601857.SH,2020-02-04,5.07,5.19,5.06,5.17,5.13,0.04,0.7797,1064594.2,547645.93
601857.SH,2020-02-05,5.17,5.27,5.13,5.21,5.17,0.04,0.7737,1023186.74,532964.335
601857.SH,2020-02-06,5.25,5.29,5.21,5.27,5.21,0.06,1.1516,866473.63,455310.305
601857.SH,2020-02-07,5.24,5.28,5.21,5.28,5.27,0.01,0.1898,611282.63,319828.128
601857.SH,2020-02-10,5.24,5.29,5.22,5.28,5.28,0.0,0.0,561309.19,295251.828
601857.SH,2020-02-11,5.27,5.34,5.26,5.3,5.28,0.02,0.3788,711717.22,377281.439
601857.SH,2020-02-12,5.29,5.32,5.28,5.31,5.3,0.01,0.1887,545000.38,288657.741
601857.SH,2020-02-13,5.33,5.35,5.28,5.28,5.31,-0.03,-0.565,535685.87,284224.188
601857.SH,2020-02-14,5.26,5.3,5.25,5.28,5.28,0.0,0.0,479170.2,252872.541
601857.SH,2020-02-17,5.29,5.38,5.27,5.38,5.28,0.1,1.8939,843920.95,450155.266
601857.SH,2020-02-18,5.38,5.38,5.33,5.35,5.38,-0.03,-0.5576,742019.15,396980.717
601857.SH,2020-02-19,5.35,5.36,5.32,5.33,5.35,-0.02,-0.3738,741890.83,395688.944
601857.SH,2020-02-20,5.35,5.38,5.32,5.38,5.33,0.05,0.9381,1056371.6,564952.42
601857.SH,2020-02-21,5.35,5.38,5.34,5.37,5.38,-0.01,-0.1859,1138162.98,609926.963
601857.SH,2020-02-24,5.34,5.34,5.27,5.28,5.37,-0.09,-1.676,1381561.64,731039.952
601857.SH,2020-02-25,5.2,5.22,5.15,5.19,5.28,-0.09,-1.7045,1504128.76,779444.089
601857.SH,2020-02-26,5.15,5.24,5.12,5.22,5.19,0.03,0.578,1602200.97,833178.213
601857.SH,2020-02-27,5.2,5.21,5.16,5.17,5.22,-0.05,-0.9579,1362522.57,705610.73
601857.SH,2020-02-28,5.11,5.14,5.06,5.07,5.17,-0.1,-1.9342,2091494.89,1064602.676
601857.SH,2020-03-02,5.11,5.18,5.1,5.17,5.07,0.1,1.9724,1391146.86,716386.394
601857.SH,2020-03-03,5.23,5.24,5.17,5.19,5.17,0.02,0.3868,1250355.59,650013.359
601857.SH,2020-03-04,5.18,5.19,5.15,5.18,5.19,-0.01,-0.1927,897003.52,463382.133
601857.SH,2020-03-05,5.2,5.25,5.18,5.25,5.18,0.07,1.3514,1539805.18,803908.182
601857.SH,2020-03-06,5.2,5.22,5.17,5.2,5.25,-0.05,-0.9524,1096335.92,569531.778
601857.SH,2020-03-09,5.06,5.24,5.02,5.15,5.2,-0.05,-0.9615,2266218.65,1158158.211
601857.SH,2020-03-10,5.1,5.16,5.06,5.15,5.15,0.0,0.0,1353587.32,691745.637
601857.SH,2020-03-11,5.15,5.17,5.11,5.12,5.15,-0.03,-0.5825,858880.83,441412.574
601857.SH,2020-03-12,5.08,5.11,5.06,5.07,5.12,-0.05,-0.9766,943174.42,478813.02
601857.SH,2020-03-13,5.0,5.08,4.92,5.04,5.07,-0.03,-0.5917,1347494.75,672317.405
601857.SH,2020-03-16,5.05,5.13,5.02,5.03,5.04,-0.01,-0.1984,1179616.12,598050.173
601857.SH,2020-03-17,5.01,5.06,4.95,5.01,5.03,-0.02,-0.3976,954820.98,476788.845
601857.SH,2020-03-18,5.01,5.03,4.95,4.95,5.01,-0.06,-1.1976,868399.57,433599.986
601857.SH,2020-03-19,4.94,4.96,4.85,4.88,4.95,-0.07,-1.4141,1306842.22,640038.705
601857.SH,2020-03-20,4.92,4.94,4.87,4.91,4.88,0.03,0.6148,1032043.71,505579.453
601857.SH,2020-03-23,4.84,4.85,4.8,4.81,4.91,-0.1,-2.0367,1067055.82,514036.501
601857.SH,2020-03-24,4.84,4.87,4.8,4.84,4.81,0.03,0.6237,1051559.49,508054.052
601857.SH,2020-03-25,4.87,4.89,4.84,4.86,4.84,0.02,0.4132,1516502.1,736600.655
601857.SH,2020-03-26,4.85,4.85,4.78,4.79,4.86,-0.07,-1.4403,1558926.79,749711.077
601857.SH,2020-03-27,4.8,4.81,4.73,4.74,4.79,-0.05,-1.0438,2090534.31,994193.94
601857.SH,2020-03-30,4.69,4.69,4.61,4.62,4.74,-0.12,-2.5316,1460209.18,676286.264
601857.SH,2020-03-31,4.64,4.65,4.6,4.62,4.62,0.0,0.0,1835549.57,847471.212
601857.SH,2020-04-01,4.61,4.62,4.54,4.55,4.62,-0.07,-1.5152,1864129.68,852263.979
601857.SH,2020-04-02,4.52,4.74,4.49,4.71,4.55,0.16,3.5165,4125374.66,1904937.548
601857.SH,2020-04-03,4.73,4.73,4.61,4.63,4.71,-0.08,-1.6985,2798560.07,1305158.248
601857.SH,2020-04-07,4.68,4.7,4.65,4.67,4.63,0.04,0.8639,2498249.45,1166377.663
601857.SH,2020-04-08,4.64,4.66,4.61,4.64,4.67,-0.03,-0.6424,1938386.32,898071.054
601857.SH,2020-04-09,4.67,4.68,4.63,4.65,4.64,0.01,0.2155,1322371.18,614778.722
601857.SH,2020-04-10,4.65,4.65,4.58,4.6,4.65,-0.05,-1.0753,1647530.45,759242.618
601857.SH,2020-04-13,4.62,4.64,4.58,4.58,4.6,-0.02,-0.4348,1136476.32,523325.758
601857.SH,2020-04-14,4.59,4.6,4.56,4.59,4.58,0.01,0.2183,1283557.95,587443.923
601857.SH,2020-04-15,4.57,4.57,4.55,4.55,4.59,-0.04,-0.8715,1122971.62,512079.194
601857.SH,2020-04-16,4.53,4.54,4.51,4.53,4.55,-0.02,-0.4396,1166517.94,528045.717
601857.SH,2020-04-17,4.54,4.58,4.54,4.55,4.53,0.02,0.4415,1242971.05,566497.469
601857.SH,2020-04-20,4.53,4.57,4.51,4.55,4.55,0.0,0.0,1024978.02,465492.414
601857.SH,2020-04-21,4.52,4.53,4.5,4.51,4.55,-0.04,-0.8791,1099609.57,496455.835
601857.SH,2020-04-22,4.47,4.47,4.43,4.46,4.51,-0.05,-1.1086,1369971.91,609949.468
601857.SH,2020-04-23,4.48,4.59,4.47,4.55,4.46,0.09,2.0179,1850325.53,840846.86
601857.SH,2020-04-24,4.55,4.56,4.48,4.48,4.55,-0.07,-1.5385,1067111.01,481471.383
601857.SH,2020-04-27,4.47,4.5,4.45,4.45,4.48,-0.03,-0.6696,757063.14,338545.181
601857.SH,2020-04-28,4.44,4.45,4.33,4.36,4.45,-0.09,-2.0225,1285945.75,563227.949
601857.SH,2020-04-29,4.37,4.41,4.37,4.38,4.36,0.02,0.4587,604151.82,265211.726
601857.SH,2020-04-30,4.38,4.46,4.37,4.44,4.38,0.06,1.3699,859732.95,380815.016
601857.SH,2020-05-06,4.44,4.49,4.42,4.47,4.44,0.03,0.6757,881770.97,393435.663
601857.SH,2020-05-07,4.47,4.48,4.44,4.45,4.47,-0.02,-0.4474,610561.05,272009.347
601857.SH,2020-05-08,4.47,4.48,4.46,4.47,4.45,0.02,0.4494,558704.08,249644.424
601857.SH,2020-05-11,4.48,4.49,4.46,4.47,4.47,0.0,0.0,557306.77,249246.081
601857.SH,2020-05-12,4.47,4.47,4.42,4.43,4.47,-0.04,-0.8949,522028.91,231767.535
601857.SH,2020-05-13,4.43,4.43,4.4,4.43,4.43,0.0,0.0,441117.21,194804.14
601857.SH,2020-05-14,4.42,4.42,4.4,4.4,4.43,-0.03,-0.6772,439272.51,193437.307
601857.SH,2020-05-15,4.42,4.43,4.41,4.42,4.4,0.02,0.4545,410880.1,181603.761
601857.SH,2020-05-18,4.45,4.46,4.43,4.44,4.42,0.02,0.4525,619746.04,275266.869
601857.SH,2020-05-19,4.48,4.51,4.46,4.46,4.44,0.02,0.4505,893223.64,400332.924
601857.SH,2020-05-20,4.46,4.46,4.42,4.43,4.46,-0.03,-0.6726,599757.0,266014.278
601857.SH,2020-05-21,4.45,4.47,4.42,4.45,4.43,0.02,0.4515,767497.69,340611.459
