date,code,open,high,low,close,volume,amount,adjustflag
2020-01-02,sz.000001,16.6500,16.9500,16.5500,16.8700,153023187,2571196482.1400,3
2020-01-03,sz.000001,16.9400,17.3100,16.9200,17.1800,111619481,1914495474.6300,3
2020-01-06,sz.000001,17.0100,17.3400,16.9100,17.0700,86208350,1477930193.1900,3
2020-01-07,sz.000001,17.1300,17.2800,16.9500,17.1500,72860756,1247047135.2600,3
2020-01-08,sz.000001,17.0000,17.0500,16.6300,16.6600,84782412,1423608811.1800,3
2020-01-09,sz.000001,16.8100,16.9300,16.5300,16.7900,103163665,1725326806.2500,3
2020-01-10,sz.000001,16.7900,16.8100,16.5200,16.6900,58554845,975154818.7800,3
2020-01-13,sz.000001,16.7500,17.0300,16.6100,16.9900,87213336,1468271683.7200,3
2020-01-14,sz.000001,16.9900,17.2700,16.7600,16.7600,130449366,2217608852.6900,3
2020-01-15,sz.000001,16.7900,16.8600,16.4500,16.5200,85943912,1424889228.0700,3
2020-01-16,sz.000001,16.5200,16.5700,16.2000,16.3300,102810467,1678888507.8300,3
2020-01-17,sz.000001,16.3800,16.5500,16.3500,16.3900,60543669,995909007.3500,3
2020-01-20,sz.000001,16.4300,16.6100,16.3500,16.4500,74607475,1226464649.5500,3
2020-01-21,sz.000001,16.3400,16.3400,15.9300,16.0000,89660310,1442171431.5500,3
2020-01-22,sz.000001,15.9200,16.1600,15.7100,16.0900,71946491,1150933398.9800,3
2020-01-23,sz.000001,15.9200,15.9200,15.3900,15.5400,110059207,1723394336.6600,3
2020-02-03,sz.000001,13.9900,14.7000,13.9900,13.9900,225919483,3201454164.9200,3
2020-02-04,sz.000001,14.0500,14.6600,14.0200,14.6000,170617207,2442932842.7100,3
2020-02-05,sz.000001,14.5900,14.8900,14.3200,14.6300,149138021,2177632043.6200,3
2020-02-06,sz.000001,14.8100,14.8700,14.5100,14.7700,118581572,1740107625.4200,3
2020-02-07,sz.000001,14.6000,14.6900,14.4100,14.6200,92485296,1345053255.6700,3
2020-02-10,sz.000001,14.5100,14.5300,14.3000,14.5000,133949524,1931983482.1000,3
2020-02-11,sz.000001,14.6000,14.9400,14.5600,14.7900,140750744,2077194138.9200,3
2020-02-12,sz.000001,14.7900,14.8200,14.6000,14.7700,107050321,1573229042.5500,3
2020-02-13,sz.000001,14.7100,14.8800,14.6100,14.6500,101320528,1491327713.7800,3
2020-02-14,sz.000001,14.7500,15.1400,14.7000,15.0300,151243473,2253906452.4800,3
2020-02-17,sz.000001,15.0400,15.3700,14.9300,15.3700,154369601,2337993586.1200,3
2020-02-18,sz.000001,15.3300,15.3300,15.0100,15.2000,97361235,1478274222.5800,3
2020-02-19,sz.000001,15.1000,15.3700,15.0800,15.2400,87410693,1333730218.9700,3
2020-02-20,sz.000001,15.2700,15.6200,15.1000,15.5900,123544434,1897923029.0400,3
2020-02-21,sz.000001,15.4900,15.7200,15.4500,15.5800,99507102,1546692930.1600,3
2020-02-24,sz.000001,15.4600,15.4600,15.1500,15.2300,119179450,1820183854.5200,3
2020-02-25,sz.000001,15.0000,15.1300,14.7800,15.0400,114457502,1710369786.0300,3
2020-02-26,sz.000001,14.7700,15.2700,14.7000,14.9900,117659915,1769612245.3700,3
2020-02-27,sz.000001,14.9600,15.1500,14.8900,15.1100,97527090,1464605739.4600,3
2020-02-28,sz.000001,14.8500,15.0400,14.4600,14.5000,130064445,1906892413.3100,3
2020-03-02,sz.000001,14.5500,14.9500,14.4600,14.7900,111658066,1647432269.7100,3
2020-03-03,sz.000001,14.9600,14.9900,14.6300,14.7200,115358432,1705816271.8900,3
2020-03-04,sz.000001,14.6800,14.7800,14.5100,14.6900,86259523,1261123063.8300,3
2020-03-05,sz.000001,14.8000,15.6400,14.7300,15.3900,268660240,4089493523.0300,3
2020-03-06,sz.000001,15.1800,15.2700,15.0200,15.0300,122853103,1858691259.3200,3
2020-03-09,sz.000001,14.7100,14.7300,14.4200,14.4500,166579354,2420392130.7300,3
2020-03-10,sz.000001,14.3800,14.8500,14.3800,14.7600,116786497,1709084565.3200,3
2020-03-11,sz.000001,14.7700,14.8800,14.6200,14.6900,81438164,1201250682.1600,3
2020-03-12,sz.000001,14.6500,14.8400,14.5300,14.6800,98649711,1447436641.9200,3
2020-03-13,sz.000001,13.9000,14.5800,13.9000,14.5200,116976580,1669009835.4800,3
2020-03-16,sz.000001,14.4500,14.4600,13.7500,13.7500,140620218,1975824191.2100,3
2020-03-17,sz.000001,13.7500,13.9700,13.1300,13.4100,117784906,1582506075.0200,3
2020-03-18,sz.000001,13.4100,13.5500,12.6500,12.7100,138478437,1816836893.6300,3
2020-03-19,sz.000001,12.6800,12.7400,11.9100,12.2300,189145713,2313863663.4800,3
2020-03-20,sz.000001,12.4000,12.6800,12.2600,12.5200,157835296,1967487818.4500,3
2020-03-23,sz.000001,12.0000,12.3500,11.9300,12.1500,107111364,1300469494.4300,3
2020-03-24,sz.000001,12.4000,12.6800,12.2700,12.6100,118020026,1472909399.7200,3
2020-03-25,sz.000001,12.8800,13.0700,12.7000,12.8700,113695774,1467534956.1600,3
