date,volume,open,high,low
2024-01-01,26081788,10.4,10.58,10.37
2024-01-02,18315092,9.45,9.57,9.37
2024-01-03,40788921,12.89,12.93,12.78
2024-01-04,31735830,17.86,17.89,17.82
2024-01-05,31301898,10.42,10.55,10.3
2024-01-06,34210711,14.72,14.73,14.47
2024-01-07,28981428,15.62,15.8,15.32
2024-01-08,36632483,10.38,10.58,10.33
2024-01-09,14628519,15.28,15.46,15.16
2024-01-10,26249687,11.68,11.77,11.61
2024-01-11,49081282,14.32,14.5,14.09
2024-01-12,26300885,14.34,14.47,14.09
2024-01-13,45959284,13.36,13.51,13.1
2024-01-14,9981505,8.9,9.07,8.78
2024-01-15,18953367,16.35,16.48,16.22
2024-01-16,23544107,11.21,11.43,11.07
2024-01-17,9521373,9.87,10.05,9.76
2024-01-18,44574309,8.41,8.44,8.39
2024-01-19,8344769,13.91,13.93,13.73
2024-01-20,47734783,14.78,14.81,14.64
2024-01-21,38657787,8.17,8.17,8.13
2024-01-22,39817184,13.12,13.14,12.96
2024-01-23,36642059,10.26,10.4,10.18
2024-01-24,14784633,14.45,14.47,14.41
2024-01-25,44219221,9.74,9.8,9.73
2024-01-26,35349564,14.91,15.16,14.66
2024-01-27,48250411,11.87,11.88,11.85
2024-01-28,36943512,17.37,17.65,17.19
2024-01-29,47860080,9.38,9.43,9.24
2024-01-30,44297498,11.41,11.44,11.29
2024-01-31,15642490,9.13,9.26,9.13
2024-02-01,44668222,17.25,17.47,17.07
2024-02-02,26498555,16.77,17.06,16.54
2024-02-03,35008271,10.58,10.74,10.5
2024-02-04,17648637,14.6,14.83,14.38
2024-02-05,21861870,16.17,16.26,15.87
2024-02-06,43702013,13.55,13.6,13.31
2024-02-07,37049003,13.3,13.5,13.07
2024-02-08,7428388,10.42,10.59,10.24
2024-02-09,41217478,8.93,9.11,8.78
2024-02-10,15959014,16.97,17.11,16.85
2024-02-11,25193880,17.0,17.13,16.72
2024-02-12,8385357,14.33,14.55,14.14
2024-02-13,49738553,11.39,11.47,11.37
2024-02-14,38237768,11.49,11.7,11.37
2024-02-15,6465689,15.26,15.52,15.16
2024-02-16,21845364,16.97,17.12,16.69
2024-02-17,33563547,16.87,17.12,16.6
2024-02-18,16392366,15.8,16.04,15.5
2024-02-19,7669995,14.42,14.45,14.18
2024-02-20,26775111,8.84,9.0,8.71
2024-02-21,18479854,9.62,9.72,9.46
2024-02-22,11397986,16.99,17.27,16.68
2024-02-23,18187277,14.06,14.15,13.81
2024-02-24,6870928,8.09,8.23,8.0
2024-02-25,42709731,9.01,9.08,8.87
2024-02-26,49500529,14.64,14.64,14.45
2024-02-27,31939239,8.05,8.2,7.97
2024-02-28,28027075,9.61,9.63,9.55
2024-02-29,19091261,13.49,13.58,13.23
2024-03-01,24082629,14.92,15.2,14.86
2024-03-02,25687413,14.52,14.8,14.41
2024-03-03,27335235,10.24,10.36,10.05
2024-03-04,5271836,15.12,15.31,15.08
2024-03-05,8584702,10.37,10.46,10.35
2024-03-06,45835801,11.25,11.32,11.04
2024-03-07,13585377,15.46,15.56,15.24
2024-03-08,24435721,14.5,14.7,14.44
2024-03-09,23048957,16.49,16.74,16.41
2024-03-10,25546531,14.58,14.81,14.34
2024-03-11,22824013,13.68,13.9,13.46
2024-03-12,41601694,8.94,8.96,8.83
2024-03-13,49528071,11.68,11.8,11.56
2024-03-14,39119117,10.65,10.66,10.57
2024-03-15,41433622,10.44,10.55,10.31
2024-03-16,27373627,17.73,17.89,17.54
2024-03-17,39561725,11.93,12.14,11.87
2024-03-18,8366612,16.92,17.04,16.59
2024-03-19,29584529,14.31,14.34,14.1
2024-03-20,41258670,15.95,16.0,15.86
2024-03-21,7630708,13.03,13.23,13.0
2024-03-22,42049111,13.77,13.94,13.64
2024-03-23,49556780,12.93,12.96,12.81
2024-03-24,6285160,9.95,9.97,9.77
2024-03-25,27857742,15.22,15.43,15.05
2024-03-26,43727468,10.81,10.83,10.71
2024-03-27,5048984,8.24,8.38,8.12
2024-03-28,15788678,14.45,14.65,14.24
2024-03-29,11556168,9.77,9.79,9.65
2024-03-30,33431703,17.4,17.43,17.06
2024-03-31,23281600,17.54,17.89,17.3
2024-04-01,28717335,17.15,17.28,16.88
2024-04-02,17719242,11.7,11.79,11.54
2024-04-03,21030288,8.15,8.28,8.01
2024-04-04,40291527,17.28,17.61,17.24
2024-04-05,49054178,12.28,12.52,12.18
2024-04-06,43334882,17.67,17.94,17.56
2024-04-07,29246560,17.64,17.77,17.57
2024-04-08,24009001,16.53,16.56,16.36
2024-04-09,49891129,10.94,11.11,10.74
2024-04-10,32891752,11.85,11.98,11.74
2024-04-11,42407771,16.51,16.65,16.37
2024-04-12,21013446,11.17,11.37,11.11
2024-04-13,32009224,9.69,9.71,9.58
2024-04-14,16910049,13.57,13.7,13.33
2024-04-15,12130144,17.36,17.36,17.11
2024-04-16,9545583,14.96,15.1,14.77
2024-04-17,46542436,13.7,13.72,13.6
2024-04-18,44070421,8.97,8.99,8.89
2024-04-19,19881728,14.15,14.18,13.97
2024-04-20,39045666,17.9,18.13,17.9
2024-04-21,48891300,9.4,9.54,9.33
2024-04-22,17722094,13.18,13.33,12.98
2024-04-23,48464141,16.77,17.09,16.47
2024-04-24,27178434,15.41,15.53,15.15
2024-04-25,17796932,14.97,15.06,14.74
2024-04-26,11914550,15.02,15.28,14.77
2024-04-27,27944510,11.59,11.64,11.4
2024-04-28,31063245,10.94,11.15,10.78
2024-04-29,45461158,16.09,16.09,15.82
2024-04-30,44443226,16.1,16.41,16.07
2024-05-01,35527880,16.67,16.68,16.36
2024-05-02,37374990,17.13,17.44,16.97
2024-05-03,29335374,13.11,13.25,12.96
2024-05-04,11510425,13.02,13.28,13.02
2024-05-05,47065449,15.98,16.0,15.7
2024-05-06,12887739,14.5,14.66,14.33
2024-05-07,5769598,15.02,15.31,15.01
2024-05-08,27070111,15.96,16.13,15.92
2024-05-09,33433648,16.9,17.11,16.84
2024-05-10,12971379,11.38,11.54,11.21
2024-05-11,8331068,11.76,11.87,11.56
2024-05-12,41810847,8.94,9.05,8.88
2024-05-13,39428803,13.78,13.94,13.76
2024-05-14,10654237,8.36,8.51,8.29
2024-05-15,22750764,12.66,12.67,12.55
2024-05-16,41898446,13.43,13.51,13.24
2024-05-17,28841962,10.87,11.08,10.82
2024-05-18,48156515,13.91,14.16,13.68
2024-05-19,27993420,8.31,8.39,8.2
2024-05-20,26970758,8.37,8.47,8.27
2024-05-21,41513466,16.23,16.32,16.07
2024-05-22,36288562,11.6,11.64,11.42
2024-05-23,26351509,9.27,9.36,9.11
2024-05-24,28484187,13.22,13.31,13.12
2024-05-25,38598017,15.7,15.88,15.48
2024-05-26,41093880,10.16,10.18,10.07
2024-05-27,19643995,14.23,14.51,13.99
2024-05-28,34193243,8.85,9.02,8.76
2024-05-29,49066131,8.52,8.64,8.44
2024-05-30,13306461,13.31,13.45,13.06
2024-05-31,40563453,13.41,13.49,13.23
2024-06-01,39755914,14.37,14.6,14.12
2024-06-02,28477595,15.26,15.47,14.97
2024-06-03,28637222,17.76,17.82,17.76
2024-06-04,7484413,13.16,13.4,12.98
2024-06-05,7907360,11.23,11.41,11.19
2024-06-06,32948416,15.95,16.25,15.71
2024-06-07,44449976,10.71,10.87,10.64
2024-06-08,35344474,12.39,12.54,12.33
2024-06-09,27474685,8.78,8.85,8.71
2024-06-10,7235000,8.25,8.4,8.16
2024-06-11,28685747,17.63,17.94,17.42
2024-06-12,42876684,16.36,16.37,16.15
2024-06-13,10822184,14.96,14.97,14.94
2024-06-14,38957122,12.09,12.18,12.05
2024-06-15,34859174,9.73,9.89,9.72
2024-06-16,41102853,9.56,9.75,9.39
2024-06-17,17195226,10.5,10.53,10.44
2024-06-18,6954109,13.49,13.65,13.47
2024-06-19,19421668,15.15,15.27,14.9
2024-06-20,26200096,14.6,14.88,14.33
2024-06-21,21266473,10.8,10.98,10.74
2024-06-22,45759979,17.55,17.84,17.4
2024-06-23,46878167,15.38,15.52,15.33
2024-06-24,28234510,13.54,13.65,13.31
2024-06-25,5061087,14.12,14.2,14.06
2024-06-26,18596255,12.2,12.21,12.01
2024-06-27,23273392,10.48,10.66,10.3
2024-06-28,15274621,11.56,11.75,11.37
2024-06-29,18022704,15.58,15.89,15.52
2024-06-30,21816569,8.14,8.3,8.09
2024-07-01,45038963,9.16,9.26,9.07
2024-07-02,12654909,8.46,8.59,8.35
2024-07-03,42814054,8.41,8.57,8.39
2024-07-04,44280002,16.55,16.83,16.35
2024-07-05,22194096,15.04,15.11,14.98
2024-07-06,37048740,12.74,12.85,12.6
2024-07-07,20421040,8.98,9.0,8.87
2024-07-08,29210512,12.92,13.17,12.78
2024-07-09,9965050,12.73,12.88,12.55
2024-07-10,5813168,9.73,9.77,9.68
2024-07-11,38779713,12.34,12.51,12.22
2024-07-12,16506305,11.99,12.14,11.81
2024-07-13,25560091,14.16,14.26,14.13
2024-07-14,24772981,14.35,14.38,14.17
2024-07-15,12734102,8.45,8.56,8.37
2024-07-16,10674719,11.75,11.87,11.73
2024-07-17,13658144,14.26,14.48,14.15
2024-07-18,45163712,13.03,13.17,12.8
