timestamp,open_price,high_price,low_price,close_price,volume_from,volume_to
2024-09-14 12:00:00,65.82,65.9,65.71,65.76,3063.2,201567.76
2024-09-14 13:00:00,65.76,66.17,65.72,66.15,8316.06,548769.96
2024-09-14 14:00:00,66.15,66.36,66.04,66.24,8153.43,540001.46
2024-09-14 15:00:00,66.24,66.78,66.2,66.6,7964.67,530043.74
2024-09-14 16:00:00,66.6,66.75,66.4,66.72,11746.05,781650.42
2024-09-14 17:00:00,66.72,66.78,66.24,66.24,9730.47,647515.84
2024-09-14 18:00:00,66.24,66.68,66.01,66.54,14222.94,943504.41
2024-09-14 19:00:00,66.54,66.61,66.07,66.09,6229.38,413158.64
2024-09-14 20:00:00,66.09,66.13,65.81,66.0,7812.86,515293.73
2024-09-14 21:00:00,66.0,66.01,65.64,65.85,4845.95,318987.83
2024-09-14 22:00:00,65.85,66.07,65.76,66.03,6471.89,426454.84
2024-09-14 23:00:00,66.03,66.15,65.96,65.97,7778.24,513737.41
2024-09-15 00:00:00,65.97,66.15,65.9,66.04,5107.85,337253.47
2024-09-15 01:00:00,66.04,66.36,66.0,66.29,4621.03,305854.62
2024-09-15 02:00:00,66.29,66.35,65.93,65.99,6788.9,448771.59
2024-09-15 03:00:00,65.99,66.0,65.68,65.7,6500.67,427847.27
2024-09-15 04:00:00,65.7,65.71,65.3,65.34,8039.04,526343.73
2024-09-15 05:00:00,65.34,65.47,65.2,65.21,3831.87,250368.08
2024-09-15 06:00:00,65.21,65.25,65.1,65.2,5312.82,346278.11
2024-09-15 07:00:00,65.2,65.41,65.19,65.23,4710.75,307599.89
2024-09-15 08:00:00,65.23,65.26,64.76,64.79,6388.03,415003.89
2024-09-15 09:00:00,64.79,64.9,64.66,64.88,3702.77,239938.76
2024-09-15 10:00:00,64.88,64.92,64.65,64.67,4150.69,268717.95
2024-09-15 11:00:00,64.67,64.7,64.54,64.68,2575.32,166454.51
2024-09-15 12:00:00,64.68,64.82,64.54,64.79,3164.76,204724.52
2024-09-15 13:00:00,64.79,65.04,64.75,64.86,3901.64,253356.54
2024-09-15 14:00:00,64.86,64.98,64.62,64.73,3560.25,230598.17
2024-09-15 15:00:00,64.73,64.8,64.51,64.54,5565.01,359514.83
2024-09-15 16:00:00,64.54,64.58,64.14,64.26,8637.25,555692.24
2024-09-15 17:00:00,64.26,64.34,64.09,64.12,4643.37,298063.17
2024-09-15 18:00:00,64.12,64.23,63.91,64.02,7458.55,478012.73
2024-09-15 19:00:00,64.02,64.36,63.99,64.31,5705.7,366386.57
2024-09-15 20:00:00,64.31,64.41,64.03,64.14,6951.02,446324.87
2024-09-15 21:00:00,64.14,64.14,63.6,63.96,8239.25,526232.13
2024-09-15 22:00:00,63.96,63.99,63.7,63.76,5494.77,350584.36
2024-09-15 23:00:00,63.76,63.76,62.97,63.3,10321.97,653898.03
2024-09-16 00:00:00,63.3,63.31,62.86,63.17,7215.07,455251.02
