,Date,GOOG,AAPL,SPX
0,2015-01-02,109.33,109.33,46.76
1,2015-01-05,106.25,106.25,46.325
2,2015-01-06,106.26,106.26,45.65
3,2015-01-07,107.75,107.75,46.23
4,2015-01-08,111.89,111.89,47.59
5,2015-01-09,112.01,112.01,47.19
6,2015-01-12,109.25,109.25,46.6
7,2015-01-13,110.22,110.22,46.355
8,2015-01-14,109.8,109.8,45.955
9,2015-01-15,106.82,106.82,45.48
10,2015-01-16,105.99,105.99,46.24
11,2015-01-20,108.72,108.72,46.39
12,2015-01-21,109.55,109.55,45.92
13,2015-01-22,112.4,112.4,47.13
14,2015-01-23,112.98,112.98,47.18
15,2015-01-26,113.1,113.1,47.01
16,2015-01-27,109.14,109.14,42.66
17,2015-01-28,115.31,115.31,41.19
18,2015-01-29,118.9,118.9,42.01
19,2015-01-30,117.16,117.16,40.4
20,2015-02-02,118.63,118.63,41.28
21,2015-02-03,118.65,118.65,41.6
22,2015-02-04,119.56,119.56,41.84
23,2015-02-05,119.94,119.94,42.45
24,2015-02-06,118.93,118.93,42.41
25,2015-02-09,119.72,119.72,42.36
26,2015-02-10,122.02,122.02,42.6
27,2015-02-11,124.88,124.88,42.38
28,2015-02-12,126.46,126.46,43.09
29,2015-02-13,127.08,127.08,43.87
30,2015-02-17,127.83,127.83,43.58
31,2015-02-18,128.715,128.715,43.53
32,2015-02-19,128.45,128.45,43.5
33,2015-02-20,129.495,129.495,43.855
34,2015-02-23,133.0,133.0,44.15
35,2015-02-24,132.17,132.17,44.09
36,2015-02-25,128.79,128.79,43.99
37,2015-02-26,130.415,130.415,44.055
38,2015-02-27,128.46,128.46,43.85
39,2015-03-02,129.09,129.09,43.88
40,2015-03-03,129.36,129.36,43.28
41,2015-03-04,128.54,128.54,43.055
42,2015-03-05,126.41,126.41,43.11
43,2015-03-06,126.6,126.6,42.36
44,2015-03-09,127.14,127.14,42.85
45,2015-03-10,124.51,124.51,42.03
46,2015-03-11,122.24,122.24,41.98
47,2015-03-12,124.45,124.45,41.02
48,2015-03-13,123.59,123.59,41.38
49,2015-03-16,124.95,124.95,41.56
50,2015-03-17,127.04,127.04,41.695
51,2015-03-18,128.47,128.47,42.5
52,2015-03-19,127.495,127.495,42.285
53,2015-03-20,125.9,125.9,42.88
54,2015-03-23,127.21,127.21,42.855
55,2015-03-24,126.69,126.69,42.9
56,2015-03-25,123.38,123.38,41.46
57,2015-03-26,124.24,124.24,41.21
58,2015-03-27,123.25,123.25,40.97
59,2015-03-30,126.37,126.37,40.96
60,2015-03-31,124.43,124.43,40.655
61,2015-04-01,124.25,124.25,40.72
62,2015-04-02,125.32,125.32,40.29
63,2015-04-06,127.35,127.35,41.545
64,2015-04-07,126.01,126.01,41.53
65,2015-04-08,125.6,125.6,41.42
66,2015-04-09,126.56,126.56,41.48
67,2015-04-10,127.1,127.1,41.72
68,2015-04-13,126.85,126.85,41.76
69,2015-04-14,126.3,126.3,41.65
70,2015-04-15,126.78,126.78,42.255
71,2015-04-16,126.17,126.17,42.16
72,2015-04-17,124.75,124.75,41.615
73,2015-04-20,127.6,127.6,42.905
74,2015-04-21,126.91,126.91,42.635
75,2015-04-22,128.62,128.62,42.985
76,2015-04-23,129.67,129.67,43.34
77,2015-04-24,130.28,130.28,47.87
78,2015-04-27,132.65,132.65,48.03
79,2015-04-28,130.56,130.56,49.155
80,2015-04-29,128.64,128.64,49.06
81,2015-04-30,125.15,125.15,48.64
82,2015-05-01,128.95,128.95,48.655
83,2015-05-04,128.7,128.7,48.24
84,2015-05-05,125.8,125.8,47.6
85,2015-05-06,125.01,125.01,46.28
86,2015-05-07,125.26,125.26,46.7
87,2015-05-08,127.62,127.62,47.75
88,2015-05-11,126.32,126.32,47.37
89,2015-05-12,125.865,125.865,47.35
90,2015-05-13,126.01,126.01,47.625
91,2015-05-14,128.95,128.95,48.72
92,2015-05-15,128.77,128.77,48.295
93,2015-05-18,130.19,130.19,48.01
94,2015-05-19,130.07,130.07,47.58
95,2015-05-20,130.06,130.06,47.58
96,2015-05-21,131.39,131.39,47.42
97,2015-05-22,132.54,132.54,46.9
98,2015-05-26,129.62,129.62,46.59
99,2015-05-27,132.045,132.045,47.61
100,2015-05-28,131.78,131.78,47.45
101,2015-05-29,130.28,130.28,46.86
102,2015-06-01,130.535,130.535,47.23
103,2015-06-02,129.96,129.96,46.92
104,2015-06-03,130.12,130.12,46.85
105,2015-06-04,129.36,129.36,46.36
106,2015-06-05,128.65,128.65,46.14
107,2015-06-08,127.8,127.8,45.73
108,2015-06-09,127.42,127.42,45.65
109,2015-06-10,128.88,128.88,46.61
110,2015-06-11,128.59,128.59,46.44
111,2015-06-12,127.17,127.17,45.97
112,2015-06-15,126.92,126.92,45.475
113,2015-06-16,127.6,127.6,45.83
114,2015-06-17,127.3,127.3,45.97
115,2015-06-18,127.88,127.88,46.72
116,2015-06-19,126.6,126.6,46.1
117,2015-06-22,127.61,127.61,46.23
118,2015-06-23,127.03,127.03,45.91
119,2015-06-24,128.11,128.11,45.635
120,2015-06-25,127.5,127.5,45.65
121,2015-06-26,126.75,126.75,45.26
122,2015-06-29,124.53,124.53,44.37
123,2015-06-30,125.425,125.425,44.15
124,2015-07-01,126.6,126.6,44.445
125,2015-07-02,126.44,126.44,44.4
126,2015-07-06,126.0,126.0,44.39
127,2015-07-07,125.69,125.69,44.3
128,2015-07-08,122.57,122.57,44.24
129,2015-07-09,120.07,120.07,44.52
130,2015-07-10,123.28,123.28,44.61
131,2015-07-13,125.66,125.66,45.54
132,2015-07-14,125.61,125.61,45.62
133,2015-07-15,126.82,126.82,45.76
134,2015-07-16,128.51,128.51,46.66
135,2015-07-17,129.62,129.62,46.62
136,2015-07-20,132.07,132.07,46.92
137,2015-07-21,130.75,130.75,47.28
138,2015-07-22,125.22,125.22,45.54
139,2015-07-23,125.16,125.16,46.11
140,2015-07-24,124.5,124.5,45.94
141,2015-07-27,122.77,122.77,45.35
142,2015-07-28,123.38,123.38,45.34
143,2015-07-29,122.99,122.99,46.29
144,2015-07-30,122.37,122.37,46.88
145,2015-07-31,121.3,121.3,46.7
146,2015-08-03,118.44,118.44,46.81
147,2015-08-04,114.64,114.64,47.54
148,2015-08-05,115.4,115.4,47.58
149,2015-08-06,115.13,115.13,46.62
150,2015-08-07,115.52,115.52,46.74
151,2015-08-10,119.72,119.72,47.33
152,2015-08-11,113.49,113.49,46.41
153,2015-08-12,115.24,115.24,46.74
154,2015-08-13,115.15,115.15,46.73
155,2015-08-14,115.96,115.96,47.0
156,2015-08-17,117.16,117.16,47.32
157,2015-08-18,116.5,116.5,47.27
158,2015-08-19,115.01,115.01,46.61
159,2015-08-20,112.65,112.65,45.66
160,2015-08-21,105.76,105.76,43.07
161,2015-08-24,103.12,103.12,41.68
162,2015-08-25,103.74,103.74,40.47
163,2015-08-26,109.69,109.69,42.71
164,2015-08-27,112.92,112.92,43.9
165,2015-08-28,113.29,113.29,43.93
166,2015-08-31,112.76,112.76,43.52
167,2015-09-01,107.72,107.72,41.82
168,2015-09-02,112.34,112.34,43.36
169,2015-09-03,110.37,110.37,43.5
170,2015-09-04,109.27,109.27,42.61
