数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh603933,N睿能,2017-07-06,29.09,29.09,29.09,29.09,20.2,12400.0,360716.0,746740300.0,2986670300.0,,,427097106.32,878651388.37,451554282.05,40889298.56,,,,,,,,,,,,,,,电子,电子制造,电子系统组装,29.09,29.09,29.09
sh603933,睿能科技,2017-07-07,32.0,32.0,32.0,32.0,29.09,2100.0,67200.0,821440000.0,3285440000.0,,,427097106.32,878651388.37,451554282.05,40889298.56,,,,,,,,,,,,,,,电子,电子制造,电子系统组装,32.0,32.0,32.0
sh603933,睿能科技,2017-07-10,35.2,35.2,35.2,35.2,32.0,5014.0,176493.0,903584000.0,3613984000.0,,,427097106.32,878651388.37,451554282.05,40889298.56,,,,,,,,,,,,,,,电子,电子制造,电子系统组装,35.2,35.2,35.2
sh603933,睿能科技,2017-07-11,38.72,38.72,38.72,38.72,35.2,12420.0,480902.0,993942400.0,3975382400.0,,,427097106.32,878651388.37,451554282.05,40889298.56,5.81,0.0,0.0,0.0,0.0,6.5,0.0,0.0,,,,,,,电子,电子制造,电子系统组装,38.72,38.72,38.72
sh603933,睿能科技,2017-07-12,42.59,42.59,42.59,42.59,38.72,156560.0,6667890.0,1093285300.0,4372715300.0,,,427097106.32,878651388.37,451554282.05,40889298.56,0.0,383.31,0.0,0.0,0.0,220.53,607.59,0.0,,,,,,,电子,电子制造,电子系统组装,42.59,42.59,42.59
sh603933,睿能科技,2017-07-13,46.85,46.85,46.85,46.85,42.59,176592.0,8273335.0,1202639500.0,4810089500.0,,,427097106.32,878651388.37,451554282.05,40889298.56,8.9,373.51,0.0,0.0,0.0,226.75,591.25,0.0,,,,,,,电子,电子制造,电子系统组装,46.85,46.85,46.85
sh603933,睿能科技,2017-07-14,51.5,51.54,49.58,51.54,46.85,14545179.0,741052691.0,1323031800.0,5291611800.0,,,427097106.32,878651388.37,451554282.05,40889298.56,14956.65,48832.16,20346.11,314.34,8791.78,21578.37,27613.43,1889.36,,,,,,,电子,电子制造,电子系统组装,50.68,50.3,50.75
sh603933,睿能科技,2017-07-17,50.69,54.0,49.21,49.55,51.54,14410623.0,745814246.0,1271948500.0,5087298500.0,,,427097106.32,878651388.37,451554282.05,40889298.56,25945.54,23144.51,21088.98,20497.79,15278.52,13495.84,7274.78,11641.11,,,,,,,电子,电子制造,电子系统组装,52.16,52.52,53.5
sh603933,睿能科技,2017-07-18,47.51,51.4,47.51,49.8,49.55,9976719.0,496514178.0,1278366000.0,5112966000.0,,,427097106.32,878651388.37,451554282.05,40889298.56,19985.59,20087.89,16026.92,16838.76,10554.02,11873.5,4257.83,2325.59,,,,,,,电子,电子制造,电子系统组装,48.97,50.84,49.31
sh603933,睿能科技,2017-07-19,50.96,51.82,49.51,50.48,49.8,8696916.0,441674874.0,1295821600.0,5182781600.0,,,427097106.32,878651388.37,451554282.05,40889298.56,17191.51,17242.9,12801.63,14291.3,10185.6,9826.97,5052.43,3394.94,,,,,,,电子,电子制造,电子系统组装,50.89,50.77,51.1
sh603933,睿能科技,2017-07-20,49.5,51.05,47.31,47.47,50.48,8433272.0,414053023.0,1218554900.0,4873744900.0,,,427097106.32,878651388.37,451554282.05,40889298.56,16874.62,18588.18,12671.61,12465.12,11420.9,8610.1,1306.65,2127.99,,,,,,,电子,电子制造,电子系统组装,49.1,49.9,50.6
sh603933,睿能科技,2017-07-21,46.7,47.56,45.85,46.43,47.47,5289090.0,246208808.0,1191858100.0,4766968100.0,,,427097106.32,878651388.37,451554282.05,40889298.56,10243.92,10846.11,7768.76,7320.31,6757.37,5855.26,328.54,1002.21,,,,,,,电子,电子制造,电子系统组装,46.82,47.5,46.6
sh603933,睿能科技,2017-07-24,46.18,48.68,45.51,47.77,46.43,5689827.0,268713114.0,1226255900.0,4904545900.0,,,427097106.32,878651388.37,451554282.05,40889298.56,10424.73,10095.42,9490.39,9922.37,5205.77,6058.96,1611.86,1064.26,,,,,,,电子,电子制造,电子系统组装,46.22,45.95,45.7
sh603933,睿能科技,2017-07-25,47.59,47.8,45.5,45.56,47.77,4907237.0,228288776.0,1169525200.0,4677645200.0,,,427097106.32,878651388.37,451554282.05,40889298.56,7617.12,7196.02,5527.61,6374.21,5015.12,3043.56,317.1,1443.81,,,,,,,电子,电子制造,电子系统组装,47.38,46.86,46.75
