数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sz002047,N成霖,2005-05-31,9.3,9.7,8.7,8.84,8.6,19294426.0,175480336.9,360672000.0,1779757200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-01,8.71,8.79,8.21,8.38,8.84,6897061.0,58346323.4,341904000.0,1687145400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-02,8.25,8.39,8.12,8.25,8.38,3106628.0,25653719.4,336600000.0,1660972500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-03,8.24,8.29,7.69,7.9,8.25,4369019.0,34794599.2,322320000.0,1590507000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-06,7.86,8.23,7.78,8.19,7.9,3527669.0,28274076.5,334152000.0,1648892700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-07,8.1,8.38,8.03,8.17,8.19,4994084.0,41032593.7,333336000.0,1644866100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-08,8.1,8.95,8.1,8.86,8.17,7202838.0,61949540.1,361488000.0,1783783800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-09,8.8,9.5,8.62,9.06,8.86,9769100.0,89176291.1,369648000.0,1824049800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-10,9.3,9.57,9.05,9.25,9.06,7170827.0,66624567.6,377400000.0,1862302500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-13,9.2,9.22,8.8,9.02,9.25,3393359.0,30610097.3,368016000.0,1815996600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-14,9.0,9.21,8.62,8.65,9.02,3012849.0,26833390.0,352920000.0,1741504500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-15,8.59,8.7,8.39,8.52,8.65,1846363.0,15739716.4,347616000.0,1715331600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-16,8.46,8.82,8.24,8.8,8.52,3041484.0,26187564.1,359040000.0,1771704000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-17,8.84,8.92,8.46,8.51,8.8,1969503.0,17044186.0,347208000.0,1713318300.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-20,8.45,9.12,8.32,9.12,8.51,5865598.0,52241740.4,372096000.0,1836129600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz002047,成霖股份,2005-06-21,9.1,9.36,8.89,9.16,9.12,5889977.0,53816309.3,373728000.0,1844182800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
