交易日期,股票代码,股票名称,成交额
1991-01-08,sh600653,申华控股,10.0
1991-01-11,sh600653,申华控股,119.0
1991-01-14,sh600653,申华控股,20.0
1991-01-15,sh600653,申华控股,15.0
1991-01-16,sh600653,申华控股,55.0
1991-01-17,sh600653,申华控股,192.0
1991-01-18,sh600653,申华控股,228.0
1991-01-21,sh600653,申华控股,3362.0
1991-01-22,sh600653,申华控股,50.0
1991-01-23,sh600653,申华控股,4.0
1991-01-24,sh600653,申华控股,130.0
1991-01-25,sh600653,申华控股,110.0
1991-01-28,sh600653,申华控股,150.0
1991-01-29,sh600653,申华控股,115.0
1991-01-30,sh600653,申华控股,44.0
1991-01-31,sh600653,申华控股,120.0
1991-02-01,sh600653,申华控股,135.0
1991-02-04,sh600653,申华控股,52.0
1991-02-05,sh600653,申华控股,69.0
1991-02-06,sh600653,申华控股,127.0
1991-02-07,sh600653,申华控股,60.0
1991-02-08,sh600653,申华控股,10.0
1991-02-11,sh600653,申华控股,20.0
1991-02-12,sh600653,申华控股,15.0
1991-02-13,sh600653,申华控股,70.0
1991-02-14,sh600653,申华控股,50.0
1991-02-20,sh600653,申华控股,10.0
1991-02-21,sh600653,申华控股,10.0
1991-02-22,sh600653,申华控股,10.0
1991-02-25,sh600653,申华控股,1.0
1991-02-26,sh600653,上海申华,5908.0
1991-02-27,sh600653,上海申华,106.0
1991-02-28,sh600653,上海申华,105.0
1991-03-01,sh600653,上海申华,315.0
1991-03-04,sh600653,上海申华,38000.0
1991-03-05,sh600653,上海申华,485000.0
1991-03-06,sh600653,上海申华,1135000.0
1991-03-07,sh600653,上海申华,148000.0
1991-03-08,sh600653,上海申华,119000.0
1991-03-11,sh600653,上海申华,45000.0
1991-03-12,sh600653,上海申华,56000.0
1991-03-13,sh600653,上海申华,36000.0
1991-03-14,sh600653,上海申华,19000.0
1991-03-15,sh600653,上海申华,19000.0
1991-03-18,sh600653,上海申华,524000.0
1991-03-19,sh600653,上海申华,276000.0
1991-03-20,sh600653,上海申华,3.0
1991-03-21,sh600653,上海申华,5.0
1991-03-22,sh600653,上海申华,24000.0
1991-03-25,sh600653,上海申华,9.0
1991-03-26,sh600653,上海申华,10.0
1991-03-27,sh600653,上海申华,8.0
1991-03-28,sh600653,上海申华,1083.0
1991-03-29,sh600653,上海申华,3.0
1991-04-01,sh600653,上海申华,10.0
1991-04-02,sh600653,上海申华,10.0
1991-04-03,sh600653,上海申华,5.0
1991-04-04,sh600653,上海申华,1.0
1991-04-05,sh600653,上海申华,51.0
1991-04-08,sh600653,上海申华,902000.0
1991-04-09,sh600653,上海申华,2.0
1991-04-10,sh600653,上海申华,10.0
1991-04-11,sh600653,上海申华,520000.0
1991-04-12,sh600653,上海申华,10.0
1991-04-15,sh600653,上海申华,65.0
1991-04-16,sh600653,上海申华,10.0
1991-04-17,sh600653,上海申华,5.0
1991-04-18,sh600653,上海申华,4.0
1991-04-19,sh600653,上海申华,65000.0
1991-04-22,sh600653,上海申华,1.0
1991-04-23,sh600653,上海申华,7.0
1991-04-24,sh600653,上海申华,64000.0
1991-04-25,sh600653,上海申华,353000.0
1991-04-26,sh600653,上海申华,8.0
1991-04-29,sh600653,上海申华,5.0
1991-04-30,sh600653,上海申华,772000.0
1991-05-02,sh600653,上海申华,466000.0
1991-05-03,sh600653,上海申华,668000.0
1991-05-06,sh600653,上海申华,4.0
1991-05-07,sh600653,上海申华,129000.0
1991-05-08,sh600653,上海申华,154000.0
1991-05-09,sh600653,上海申华,327000.0
1991-05-10,sh600653,上海申华,214000.0
1991-05-13,sh600653,上海申华,3.0
1991-05-14,sh600653,上海申华,30.0
1991-05-15,sh600653,上海申华,10.0
1991-05-16,sh600653,上海申华,259000.0
1991-05-17,sh600653,上海申华,5.0
1991-05-20,sh600653,上海申华,10.0
1991-05-21,sh600653,上海申华,10.0
1991-05-22,sh600653,上海申华,589000.0
1991-05-23,sh600653,上海申华,662000.0
1991-05-24,sh600653,上海申华,256000.0
1991-05-27,sh600653,上海申华,1.0
1991-05-28,sh600653,上海申华,257000.0
1991-05-29,sh600653,上海申华,682000.0
1991-05-30,sh600653,上海申华,20.0
1991-05-31,sh600653,上海申华,802000.0
1991-06-03,sh600653,上海申华,5.0
1991-06-04,sh600653,上海申华,3.0
1991-06-05,sh600653,上海申华,10.0
1991-06-06,sh600653,上海申华,5.0
1991-06-07,sh600653,上海申华,5.0
1991-06-11,sh600653,上海申华,30000.0
1991-06-12,sh600653,上海申华,15.0
1991-06-13,sh600653,上海申华,3.0
1991-06-14,sh600653,上海申华,2.0
1991-06-17,sh600653,上海申华,461000.0
1991-06-18,sh600653,上海申华,13000.0
1991-06-19,sh600653,上海申华,3000.0
1991-06-20,sh600653,上海申华,2.0
1991-06-21,sh600653,上海申华,20.0
1991-06-25,sh600653,上海申华,6000.0
1991-06-26,sh600653,上海申华,10.0
1991-06-27,sh600653,上海申华,1.0
1991-06-28,sh600653,上海申华,19000.0
1991-07-01,sh600653,上海申华,1.0
1991-07-02,sh600653,上海申华,2523000.0
1991-07-03,sh600653,上海申华,455000.0
1991-07-04,sh600653,上海申华,5.0
1991-07-05,sh600653,上海申华,10.0
1991-07-08,sh600653,上海申华,10.0
1991-07-09,sh600653,上海申华,12.0
1991-07-10,sh600653,上海申华,85000.0
1991-07-11,sh600653,上海申华,150.0
1991-07-12,sh600653,上海申华,70.0
1991-07-15,sh600653,上海申华,130.0
1991-07-16,sh600653,上海申华,20.0
1991-07-17,sh600653,上海申华,40.0
1991-07-18,sh600653,上海申华,50.0
1991-07-19,sh600653,上海申华,30.0
1991-07-22,sh600653,上海申华,180.0
1991-07-23,sh600653,上海申华,100.0
1991-07-24,sh600653,上海申华,50.0
1991-07-25,sh600653,上海申华,20.0
1991-07-26,sh600653,上海申华,20.0
1991-07-29,sh600653,上海申华,120.0
1991-07-30,sh600653,上海申华,150.0
1991-07-31,sh600653,上海申华,50.0
1991-08-01,sh600653,上海申华,80.0
1991-08-02,sh600653,上海申华,20.0
1991-08-05,sh600653,上海申华,390.0
1991-08-06,sh600653,上海申华,100.0
1991-08-07,sh600653,上海申华,10.0
1991-08-08,sh600653,申华控股,10.0
1991-08-09,sh600653,上海申华,130.0
1991-08-12,sh600653,上海申华,80.0
1991-08-13,sh600653,上海申华,100.0
1991-08-14,sh600653,上海申华,15.0
1991-08-15,sh600653,上海申华,1.0
1991-08-16,sh600653,上海申华,30.0
1991-08-19,sh600653,上海申华,70.0
1991-08-20,sh600653,上海申华,20.0
1991-08-21,sh600653,上海申华,1.0
1991-08-22,sh600653,上海申华,50.0
1991-08-26,sh600653,上海申华,100.0
1991-08-27,sh600653,上海申华,100.0
1991-08-28,sh600653,上海申华,180.0
1991-08-29,sh600653,上海申华,20.0
1991-08-30,sh600653,上海申华,40.0
1991-09-02,sh600653,上海申华,10.0
1991-09-03,sh600653,上海申华,26.0
1991-09-04,sh600653,上海申华,49.0
1991-09-05,sh600653,上海申华,10.0
1991-09-06,sh600653,上海申华,10.0
1991-09-09,sh600653,上海申华,2.0
1991-09-10,sh600653,上海申华,100.0
1991-09-11,sh600653,上海申华,20.0
1991-09-12,sh600653,上海申华,100.0
1991-09-13,sh600653,上海申华,30.0
1991-09-16,sh600653,上海申华,4.0
1991-09-17,sh600653,上海申华,50.0
1991-09-18,sh600653,上海申华,10.0
1991-09-19,sh600653,上海申华,20.0
1991-09-20,sh600653,上海申华,50.0
1991-09-23,sh600653,上海申华,50.0
1991-09-24,sh600653,上海申华,50.0
1991-09-25,sh600653,上海申华,200.0
1991-09-26,sh600653,上海申华,140.0
1991-09-27,sh600653,上海申华,100.0
1991-09-30,sh600653,上海申华,30.0
1991-10-03,sh600653,上海申华,100.0
1991-10-04,sh600653,上海申华,150.0
1991-10-07,sh600653,上海申华,100.0
1991-10-08,sh600653,上海申华,40.0
1991-10-09,sh600653,上海申华,48.0
1991-10-10,sh600653,上海申华,319.0
1991-10-11,sh600653,上海申华,60.0
1991-10-14,sh600653,上海申华,240.0
1991-10-15,sh600653,上海申华,66.0
1991-10-16,sh600653,上海申华,125.0
1991-10-17,sh600653,上海申华,212.0
1991-10-18,sh600653,上海申华,78.0
1991-10-21,sh600653,上海申华,120.0
1991-10-22,sh600653,上海申华,640.0
1991-10-23,sh600653,上海申华,860.0
1991-10-24,sh600653,上海申华,40.0
1991-10-25,sh600653,上海申华,46.0
1991-10-28,sh600653,上海申华,400.0
1991-10-29,sh600653,上海申华,1.0
1991-10-30,sh600653,上海申华,137.0
1991-10-31,sh600653,上海申华,4.0
1991-11-01,sh600653,上海申华,1.0
1991-11-04,sh600653,上海申华,136.0
1991-11-05,sh600653,上海申华,67.0
1991-11-06,sh600653,上海申华,1.0
1991-11-07,sh600653,上海申华,39.0
1991-11-08,sh600653,上海申华,1.0
1991-11-11,sh600653,上海申华,255.0
1991-11-12,sh600653,上海申华,27.0
1991-11-13,sh600653,上海申华,863.0
1991-11-14,sh600653,上海申华,48.0
1991-11-15,sh600653,上海申华,199.0
1991-11-18,sh600653,上海申华,7.0
1991-11-19,sh600653,上海申华,137.0
1991-11-20,sh600653,上海申华,212.0
1991-11-21,sh600653,上海申华,763.0
1991-11-22,sh600653,上海申华,250.0
1991-11-25,sh600653,上海申华,37.0
1991-11-26,sh600653,上海申华,666.0
1991-11-28,sh600653,上海申华,10.0
1991-11-29,sh600653,上海申华,490.0
1991-12-02,sh600653,上海申华,99.0
1991-12-03,sh600653,上海申华,1000.0
1991-12-04,sh600653,上海申华,32.0
1991-12-05,sh600653,上海申华,587.0
1991-12-06,sh600653,上海申华,99.0
1991-12-09,sh600653,上海申华,931.0
1991-12-10,sh600653,上海申华,50.0
1991-12-11,sh600653,上海申华,260.0
1991-12-12,sh600653,上海申华,89.0
1991-12-13,sh600653,上海申华,137.0
1991-12-16,sh600653,上海申华,200.0
1991-12-17,sh600653,上海申华,99.0
1991-12-19,sh600653,上海申华,10.0
1991-12-20,sh600653,上海申华,100.0
1991-12-23,sh600653,上海申华,5.0
1991-12-24,sh600653,上海申华,10.0
1991-12-25,sh600653,上海申华,24.0
1991-12-26,sh600653,上海申华,365.0
1991-12-27,sh600653,上海申华,65.0
1991-12-30,sh600653,上海申华,70.0
1991-12-31,sh600653,上海申华,1800000.0
1992-01-03,sh600653,上海申华,200000.0
1992-01-06,sh600653,上海申华,50000.0
1992-01-07,sh600653,上海申华,120000.0
1992-01-08,sh600653,上海申华,10000.0
1992-01-09,sh600653,上海申华,180000.0
1992-01-10,sh600653,上海申华,180000.0
1992-01-13,sh600653,上海申华,210000.0
1992-01-15,sh600653,上海申华,20000.0
1992-01-17,sh600653,上海申华,6000.0
1992-01-20,sh600653,上海申华,40000.0
1992-01-21,sh600653,上海申华,160000.0
1992-01-22,sh600653,上海申华,100000.0
