iter	Passed	Remaining
0	135	134878
1	139	69637
2	144	47963
3	148	37095
4	153	30572
5	156	25950
6	159	22677
7	163	20329
8	167	18421
9	170	16860
10	172	15539
11	175	14421
12	177	13478
13	180	12677
14	182	11966
15	184	11350
16	186	10810
17	189	10333
18	191	9910
19	194	9523
20	196	9176
21	199	8853
22	201	8556
23	203	8285
24	206	8045
25	208	7827
26	211	7618
27	213	7425
28	216	7243
29	218	7074
30	221	6913
31	223	6761
32	225	6619
33	228	6485
34	230	6356
35	232	6235
36	235	6123
37	237	6016
38	239	5912
39	242	5812
40	244	5721
41	246	5633
42	249	5550
43	251	5469
44	253	5387
45	255	5306
46	258	5231
47	260	5160
48	262	5089
49	264	5022
50	266	4967
51	269	4917
52	272	4871
53	275	4817
54	277	4768
55	280	4726
56	283	4686
57	285	4639
58	287	4593
59	290	4546
60	292	4501
61	294	4456
62	297	4417
63	299	4380
64	301	4341
65	304	4306
66	306	4269
67	308	4231
68	311	4197
69	313	4169
70	316	4135
71	318	4100
72	320	4067
73	322	4034
74	324	4007
75	327	3983
76	330	3964
77	333	3938
78	335	3910
79	337	3884
80	339	3857
81	342	3833
82	344	3806
83	346	3783
84	349	3759
85	351	3735
86	353	3710
87	355	3685
88	357	3664
89	360	3644
90	362	3624
91	365	3602
92	367	3580
93	369	3561
94	371	3539
95	374	3525
96	376	3506
97	378	3488
98	381	3473
99	384	3456
100	386	3438
101	388	3423
102	391	3408
103	393	3389
104	396	3375
105	398	3362
106	401	3348
107	403	3334
108	406	3320
109	408	3307
110	411	3293
111	413	3279
112	416	3265
113	418	3253
114	421	3240
115	423	3227
116	425	3214
117	428	3201
118	430	3188
119	433	3175
120	435	3164
121	437	3152
122	440	3139
123	442	3127
124	445	3115
125	447	3103
126	449	3092
127	452	3081
128	454	3070
129	457	3059
130	459	3048
131	462	3038
132	464	3027
133	466	3017
134	469	3007
135	471	2997
136	474	2987
137	476	2978
138	479	2968
139	481	2960
140	484	2949
141	486	2941
142	489	2930
143	491	2919
144	493	2908
145	495	2899
146	498	2893
147	500	2881
148	502	2871
149	504	2860
150	506	2850
151	509	2840
152	511	2830
153	513	2821
154	515	2812
155	518	2803
156	520	2793
157	522	2783
158	524	2774
159	526	2764
160	528	2754
161	530	2744
162	532	2736
163	534	2726
164	536	2717
165	538	2707
166	541	2698
167	543	2690
168	545	2681
169	547	2674
170	549	2665
171	551	2656
172	553	2648
173	556	2639
174	558	2632
175	560	2625
176	563	2618
177	565	2611
178	567	2603
179	569	2596
180	571	2587
181	574	2582
182	576	2575
183	578	2567
184	581	2559
185	583	2551
186	585	2543
187	587	2535
188	589	2531
189	592	2526
190	595	2520
191	597	2512
192	599	2505
193	601	2498
194	603	2491
195	605	2484
196	607	2477
197	609	2470
198	611	2463
199	613	2455
200	616	2448
201	618	2442
202	620	2436
203	622	2430
204	625	2423
205	627	2416
206	629	2410
207	631	2404
208	633	2397
209	635	2392
210	637	2385
211	640	2379
212	642	2372
213	644	2367
214	646	2361
215	649	2357
216	652	2352
217	654	2347
218	657	2344
219	660	2340
220	662	2336
221	665	2332
222	668	2327
223	670	2322
224	672	2315
225	674	2309
226	676	2303
227	678	2296
228	681	2293
229	683	2288
230	685	2283
231	687	2276
232	689	2270
233	691	2264
234	693	2258
235	696	2253
236	698	2247
237	700	2241
238	702	2235
239	704	2229
240	706	2223
241	708	2218
242	710	2213
243	712	2207
244	714	2202
245	716	2196
246	718	2191
247	720	2185
248	722	2179
249	724	2174
250	726	2169
251	728	2163
252	730	2157
253	732	2152
254	734	2146
255	736	2141
256	738	2136
257	741	2131
258	743	2126
259	745	2120
260	747	2115
261	749	2110
262	751	2105
263	753	2099
264	755	2094
265	757	2091
266	760	2088
267	762	2083
268	764	2078
269	767	2073
270	769	2069
271	771	2065
272	773	2060
273	775	2055
274	777	2050
275	779	2045
276	781	2040
277	783	2035
278	786	2031
279	788	2026
280	790	2021
281	792	2017
282	794	2012
283	796	2007
284	798	2002
285	800	1997
286	802	1992
287	804	1988
288	806	1983
289	808	1978
290	810	1973
291	812	1969
292	814	1964
293	816	1960
294	819	1957
295	821	1953
296	823	1949
297	825	1945
298	827	1940
299	829	1936
300	832	1932
301	834	1927
302	836	1923
303	838	1918
304	840	1914
305	842	1909
306	844	1905
307	846	1900
308	848	1897
309	850	1893
310	852	1889
311	855	1885
312	857	1882
313	859	1877
314	861	1872
315	863	1869
316	865	1864
317	867	1860
318	869	1856
319	871	1852
320	873	1847
321	875	1843
322	878	1840
323	880	1836
324	882	1832
325	884	1827
326	886	1823
327	888	1820
328	890	1815
329	892	1812
330	895	1809
331	897	1805
332	899	1802
333	902	1798
334	904	1795
335	906	1792
336	909	1789
337	911	1785
338	914	1782
339	916	1779
340	918	1775
341	921	1772
342	923	1769
343	926	1766
344	928	1762
345	930	1759
346	933	1756
347	935	1752
348	937	1749
349	940	1746
350	942	1743
351	945	1740
352	947	1736
353	949	1733
354	952	1729
355	954	1726
356	956	1722
357	958	1718
358	960	1715
359	963	1712
360	965	1708
361	967	1705
362	970	1702
363	972	1699
364	975	1696
365	977	1693
366	979	1690
367	982	1687
368	985	1684
369	987	1681
370	989	1678
371	992	1675
372	994	1672
373	997	1669
374	999	1666
375	1002	1663
376	1005	1661
377	1007	1658
378	1010	1655
379	1012	1652
380	1015	1649
381	1017	1646
382	1020	1643
383	1022	1640
384	1025	1637
385	1028	1635
386	1031	1634
387	1034	1632
388	1037	1629
389	1040	1626
390	1042	1624
391	1045	1621
392	1047	1618
393	1050	1615
394	1052	1612
395	1055	1609
396	1057	1606
397	1059	1602
398	1061	1599
399	1063	1595
400	1065	1592
401	1068	1588
402	1070	1585
403	1072	1582
404	1076	1580
405	1078	1578
406	1081	1575
407	1083	1571
408	1085	1568
409	1088	1565
410	1090	1562
411	1092	1559
412	1095	1556
413	1097	1553
414	1100	1550
415	1102	1547
416	1105	1544
417	1107	1541
418	1109	1538
419	1112	1535
420	1114	1532
421	1116	1529
422	1119	1526
423	1121	1524
424	1124	1521
425	1127	1518
426	1129	1515
427	1132	1513
428	1134	1510
429	1137	1508
430	1140	1505
431	1143	1502
432	1145	1499
433	1147	1496
434	1149	1493
435	1152	1490
436	1154	1487
437	1156	1484
438	1158	1481
439	1161	1477
440	1163	1474
441	1165	1472
442	1167	1468
443	1170	1465
444	1172	1462
445	1174	1459
446	1177	1456
447	1179	1452
448	1181	1449
449	1183	1446
450	1185	1443
451	1187	1439
452	1189	1436
453	1191	1433
454	1194	1430
455	1196	1427
456	1199	1424
457	1201	1421
458	1203	1418
459	1205	1415
460	1207	1412
461	1209	1408
462	1212	1405
463	1214	1402
464	1216	1399
465	1218	1396
466	1220	1393
467	1223	1390
468	1225	1387
469	1227	1383
470	1229	1380
471	1231	1377
472	1233	1374
473	1236	1371
474	1238	1368
475	1240	1365
476	1242	1362
477	1245	1359
478	1248	1357
479	1250	1355
480	1253	1352
481	1256	1350
482	1258	1347
483	1261	1344
484	1265	1343
485	1267	1340
486	1270	1337
487	1272	1335
488	1275	1332
489	1277	1329
490	1280	1326
491	1282	1323
492	1284	1320
493	1286	1317
494	1288	1314
495	1290	1311
496	1292	1308
497	1295	1305
498	1297	1302
499	1299	1299
500	1301	1296
501	1304	1294
502	1306	1291
503	1309	1288
504	1311	1285
505	1313	1281
506	1315	1278
507	1317	1276
508	1319	1273
509	1322	1270
510	1324	1267
511	1327	1264
512	1329	1262
513	1331	1259
514	1334	1256
515	1336	1253
516	1338	1250
517	1339	1246
518	1341	1243
519	1343	1240
520	1345	1237
521	1348	1235
522	1350	1231
523	1352	1228
524	1354	1225
525	1356	1222
526	1358	1219
527	1360	1215
528	1362	1213
529	1365	1210
